Counting Crows,Versions,File Type,
"5-5-2000 / New Orleans, LA / Shim Sham Club (ECM-959A) (lewis fowler)",AUD,FLAC,
"5-17-2000 / Omaha, NE / Civic Center",AUD,FLAC,
"5-19-2000 / Moline, IL / Mark of the Quad Cities",AUD,FLAC,
"5-20-2000 / Madison, WI / Dane County Expo",SBD,FLAC,
"5-22-2000 / Springfield, IL / Capital Convention Center (unk)",AUD,FLAC,
"5-23-2000 / South Bend, IL / Morris Performing Arts Center (unk)",AUD,FLAC,
"5-26-2000 / Toledo, OH / Toledo Zoo Amphitheater",AUD,FLAC,
"5-28-2000 / Kalamazoo, MI / Wings Stadium (unk)",AUD,FLAC,
"5-31-2000 / East Lansing, MI / Jack Breslin Student Center (unk)",AUD,FLAC,
"6-11-2000 / Nurnberg Frankenstadion, Germany / Rock Im Park",FM,FLAC,
"6-12-2000 / Landgraaf, Holland / Pinkpop Festival (inc)",FM,FLAC,
"6-12-2000 / Landgraaf, Holland / Pinkpop Festival (inc)",TV,FLAC,
"6-12-2000 / Landgraaf, Holland / Pinkpop Festival - DVB-C (Cultura24 Broadcast)",PRO,TS,
"6-14-2000 / Dublin, Ireland / The Point (unk)",AUD,FLAC,
"6-16-2000 / London, UK / Wembley Arena (unk)",AUD,FLAC,
"6-16-2000 / London, UK / Wembley Arena",WEB,RM,
"6-23-2000 / Pilton, England / Glastonbury Festival",AUD,FLAC,
"6-23-2000 / Pilton, England / Glastonbury Festival (inc)",FM,MP3,
"6-26-2000 / Paris, France / Elysee Montmartre (Sony ECM 717) (philippe ettori)",AUD,FLAC,
"7-1-2000 / Gallen, Switzerland / St. Gallen Festival",FM,FLAC,
"7-2-2000 / Werchter, Belgium / Rock Werchter (unk)",AUD,FLAC,
7-7-2000 / Denmark / MidtFyn Festival (unk),AUD,FLAC,
"7-28-2000 / Bonner Springs, KS / Sandstone Amphitheater (CSC) (lance stack)",AUD,FLAC,
"7-28-2000 / Bonner Springs, KS / Sandstone Amphitheater",AUD,DVD,
"7-29-2000 / St. Louis, MO / Riverport Amphitheater",AUD,FLAC,
"7-31-2000 / Indianapolis, IN / Deer Creek Music Center (unk)",AUD,FLAC,
"8-2-2000 / Clarkston, MI / Pine Knob Amphitheater (unk)",AUD,FLAC,
