Sonic Youth,Versions,File Type,
"3-17-2005 / Tokyo, Japan / Shibuya O-East (Aiwa mic) (unk)",AUD,FLAC,
"3-18-2005 / Osaka, Japan / Namba Hatch (sylph bootleg)",AUD,FLAC,
"3-19-2005 / Nagoya, Japan / Nagoya Quattro (Sonic Studio) (unk)",AUD,FLAC,
"7-5-2005 / Malmo, Sweden / Folkets Park - Accelerator Festival (species)",FM,FLAC,
"10-28-2005 / Valencia, Spain / Heineken Greenspace",FM,FLAC,
,,,
[2006],,,
"4-20-2006 / Paris, France / Le Nouveau Casino (Sony ECM-717) (kissamos)",AUD,FLAC,
"6-27-2006 / Englewood, CO / Gothic Theater (MBHO KA-200N) (sxpxdxcx)",AUD,FLAC,
"7-1-2006 / Portland, OR / Roseland Theatre (SP C4s + SBD) (thir13en remaster) ",MIX,FLAC,
