Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"6-4-2008 / Paris, France / Palais Omnisports de Paris-Bercy (SPTFB2) (sp@ceh)",AUD,FLAC,
"6-7-2008 / Nuremberg, Germany / Rock im Park - Center Stage (MBHO MBP 603A) (dagobert)",AUD,FLAC,
"6-14-2008 / Modena, Italy / Braglia Stadium (Edirol R09) (badscooter)",AUD,FLAC,
"6-15-2008 / Nickelsdorf, Austria / Pannonia Field II - Nova Rock Festival (AT943) (mrruin)",AUD,FLAC,
"7-10-2008 / Oeiras, Portugal / Passeio Martimo de Alges (DPA 4060) (j. mart) ",AUD,FLAC,
"8-2-2008 / Chicago, IL / Grant Park - Lollapalooza (SP-CMC-8) (zepdog)",AUD #1,FLAC,
"8-2-2008 / Chicago, IL / Grant Park - Lollapalooza (MM-HLSC-1) (sin213)",AUD #2,FLAC,
"8-20-2008 / St. Cloud, France / Festival Rock en Seine (SPTFB2) (sp@ceh)",AUD,FLAC,
"8-20-2008 / St. Cloud, France / Festival Rock en Seine ",AUD,DVD,
"8-22-2008 / Reading, England / Little John's Farm (CA-11) (porcelmc)",AUD,FLAC,
"8-23-2008 / Wetherby, England / Bramham Park (DPA 4061) (rob)",AUD,FLAC,
"8-27-2008 / Denver, CO / Denver Coliseum (CSC) (auto-de-fe)",AUD,FLAC,
"9-3-2008 / Minneapolis, MN / Target Center (AT853) (crazyafroman)",AUD,FLAC,
,,,
[2010],,,
"6-3-2010 / Nuremburg, Germany / Zeppelinfeld - Rock im Park Festival (Zoom H2) (morele1909)",AUD,FLAC,
"6-6-2010 / London, UK / Finsbury Park (SPTFB2) (sp@ceh)",AUD #1,FLAC,
"6-6-2010 / London, UK / Finsbury Park (Zoom H2) (had0ken master)",AUD #2,FLAC,
"6-9-2010 / Arnhem, The Netherlands / Gelredome (unk)",AUD,MTS,
"6-12-2010 / Castle Donington, England / Donington Park (SP-CMC-8) ",AUD,FLAC,
,,,
[2011],,,
"7-30-2011 / Los Angeles, CA / Los Angeles Coliseum *LA Rising (Zoom H2) (wewantthecup)",AUD #1,FLAC,
"7-30-2011 / Los Angeles, CA / Los Angeles Coliseum (Olympus PCM)",AUD #2,FLAC,
"7-30-2011 / Los Angeles, CA / Los Angeles Coliseum (Edirol R09) (rob c.)",AUD #3,FLAC,
"7-30-2011 / Los Angeles, CA / Los Angeles Coliseum (DSM6) ",AUD #4,FLAC,
,,,
[2022],,,
"7-9-2022 / East Troy, WI / Alpine Music Theater (Schoeps MK4) (tj)",AUD,FLAC,
"7-9-2022 / East Troy, WI / Alpine Valley Music Theatre (DPA 4080) (tb)",AUD,FLAC,
"7-9-2022 / East Troy, WI / Alpine Valley Music Theatre (AT831s) (tapeworm48)",AUD,FLAC 24,
"7-11-2022 / Chicago, IL / United Center (Schoeps MK4s) (tj)",AUD,FLAC,
"7-11-2022 / Chicago, IL / United Center (ALD) (lowlight10)",AUD,FLAC,
"7-11-2022 / Chicago, IL / United Center (iPhone 11) (sam)",AUD,FLAC,
"7-11-2022 / Chicago, IL / United Center (AT831s) (tapeworm48)",AUD,FLAC 24,
"7-12-2022 / Chicago, IL / United Center (AT831s) (tapeworm48)",AUD,FLAC 24,
"7-15-2022 / Ottawa, ON / RBC Bluesfest (iPhone 11) (palm0014) ",AUD,FLAC 24,
"7-21-2022 / Toronto, ON / Scotiabank Arena (Zoom H1N) (blackpoodle)",AUD,FLAC,
"7-23-2022 / Toronto, ON / Scotiabank Arena (Zoom H1N) (blackpoodle) ",AUD,FLAC,
"7-25-2022 / Buffalo, NY / KeyBank Center (Schoeps MK4s) (tj)",AUD,FLAC,
"7-27-2022 / Cleveland, OH / Rocket Mortgate Fieldhouse (Schoeps MK4s) (tj)",AUD,FLAC,
"7-29-2022 / Pittsburgh, PA / PPG Arena (Schoeps MK4s) (tj)",AUD,FLAC,
"7-31-2022 / Raleigh, NC / PNC Arena (Schoeps MK4s) (tj)",AUD,FLAC,
"7-31-2022 / Raleigh, NC / PNC Arena (Schoeps MK4s + Babynbox + Maratz PMD-620) (ryanj + anonymous)",MIX,FLAC 24,
"8-2-2022 / Washington, DC / Capital One Arena (Schoeps MK4s) (tj) ",AUD,FLAC,
