Local H,Versions,File Type
"5-9-2008 / Chicago, IL / The Beat Kitchen - WAV(M) (Beyerdynamics MC930) (unk)",AUD,FLAC
"5-10-2008 / Chicago, IL / The Beat Kitchen (AKG ck93) (cabbage)",AUD,FLAC
"5-10-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonauito)",AUD,FLAC
"5-10-2008 / Chicago, IL / The Beat Kitchen - WAV(M) (Beyerdynamics MC930) (unk)",AUD,FLAC
"5-11-2008 / Chicago, IL / The Beat Kitchen (AKG ck93) (cabbage)",AUD,FLAC
"5-11-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonaiuto)",AUD,FLAC
"5-12-2008 / Chicago, IL / The Beat Kitchen (AKG ck93) (cabbage)",AUD,FLAC
"5-12-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonaiuto)",AUD,FLAC
"5-12-2008 / Chicago, IL / The Beat Kitchen - WAV(M) (Beyerdynamics MC930) (unk)",AUD,FLAC
"5-13-2008 / Chicago, IL / The Beat Kitchen (AKG ck93) (cabbage)",AUD,FLAC
"5-13-2008 / Chicago, IL / The Beat Kitchen (DPA 4022) (james bonaiuto)",AUD,FLAC
"5-17-2008 / Philadelphia, PA / Khyber (AKG ck93) (cabbage)",AUD,FLAC 24
"5-18-2008 / Brooklyn, NY / Union Pool (AKG ck93) (cabbage)",AUD,FLAC 24
"5-23-2008 / Cleveland, OH / RocBar (DPA 4060) (live2cd)",AUD,FLAC
"5-24-2008 / Detroit, MI / Alvin's (DPA 4060) (live2cd)",AUD,FLAC
"6-5-2008 / Las Vegas, NV / Canyon Club - WAV(M) (CK91) (cps)",AUD,FLAC
"6-7-2008 / Visalia, CA / The Cellar Door (DPA 4061s) (cavis)",AUD,FLAC
"6-8-2008 / San Francisco, CA / The Independent (Schoeps CMC34) (unk)",AUD,FLAC
"6-9-2008 / Burbank, CA / NBC Studios (Stage 9) - Last Call with Carson Daly (live2cd)",TV,FLAC
"6-9-2008 / Burbank, CA / NBC Studios (Stage 9) - Last Call with Carson Daly (live2cd)",TV,MPG
"6-11-2008 / Seattle, WA / Chop Suey - WAV(M) (Pansonic WM-1A) (kris sproul)",AUD,FLAC
"6-21-2008 / Milwaukee, WI / East North Ave. between Oakland and Farwell (HEB) (live2cd)",AUD,FLAC
"6-21-2008 / Milwaukee, WI / East North Ave. between Oakland and Farwell - WAV(M) (MC930) (john weiss)",AUD,FLAC
"6-22-2008 / Chicago, IL / The Metro (AKG) (cabbage)",AUD,FLAC
"6-22-2008 / Chicago, IL / The Metro (DPA 4060) (live2cd)",AUD,FLAC
"6-28-2008 / Chicago, IL / Empty Bottle (Scott Lucas) (Canon HV20) (unk)",AUD,FLAC
"7-25-2008 / Lincolnshire, IL / Flatlanders (Scott Lucas) (Schoeps MK4s) (tapeworm48)",AUD,FLAC
"10-23-2008 / Milwaukee, WI / Turner Hall Ballroom - WAV(M) (Beyerdynamics MC930) (john weiss)",AUD,FLAC
"11-6-2008 / San Francisco, CA / Great American Music Hall - DAT(M) (Schoeps) (anonymous)",AUD,FLAC
"11-10-2008 / Tempe, AZ / The Clubhouse (unk) (giovanni solorio)",AUD,FLAC
"11-17-2008 / Spartanburg, SC / Ground Zero (Sony ECM-MS907) (nathan b. true)",AUD,FLAC
