Weezer,Versions,File Type,
"11-10-2012 / Orlando, FL / Hard Rock Live",SBD,FLAC,Official Bootleg
,,,
[2013],,,
"1-16-2013 / Melbourne, Australia / Sidney Myer Music Bowl",SBD,MP3,
"1-17-2013 / Melbourne, Australia / Palais Theatre",AUD,MP3,
"1-17-2013 / Melbourne, Australia / Palais Theatre",SBD,MP3,
"1-23-2013 / Perth, Australia / Perth Arena",SBD,MP3,
"7-8-2013 / Hampton Beach, NH / Hampton Beach Casino Ballroom",SBD,MP3,
"9-14-2013 / Thackerville, OK / WinStar World Casino (unk)",AUD,FLAC,
,,,
[2014],,,
"4-3-2014 / Richmond, VA / The National (CA-11) (unk)",AUD,FLAC,
"9-20-2014 / Las Vegas, NV / MGM Grand Garden Arena - iHeartRadio Music Festival (69baby)",Webcast,TS,
"10-8-2014 / Long Beach, CA / Fingerprint Records",AUD,MP3,
"11-7-2014 / Los Angeles, CA / Balesco Theater (Sonics) (jb)",AUD,FLAC,
,,,
[2015],,,
"4-3-2015 / Indianapolis, IN / White River State Park - March Madness Music Festival",Webcast,TS,
"6-13-2015 / Burlington, Ontario / Spencer Smith Park - Sound of Music Festival (AT831s) (binko)",AUD,FLAC,
"7-22-2015 / Cleveland, OH / Quicken Loans Arena - AP Music Awards",Webcast,TS,
"7-24-2015 / Columbus, OH / Lifestyle Communities Pavilion - CD 102.5 Summer Festival (CSB) (live2cd)",AUD,FLAC,
"8-2-2015 / Bridgeport, CT / Seaside Park - Gathering of the Vibes (Neumann KM184s) (rob clarke)",AUD #1,FLAC,
"8-2-2015 / Bridgeport, CT / Seaside Park - Gathering of the Vibes (Schoeps MK5c) (tonedeaf)",AUD #2,FLAC,
"10-21-2015 / Burbank, CA / iHeartRadio Festival - Guitar Hero Live Launch Party",Webcast,TS,
"12-12-2015 / Inglewood, CA / The Forum - KROQ Almost Acoustic Christmas",Webcast,TS,
,,,
[2016],,,
"3-22-2016 / Los Angeles, CA / Red Bull Sound Space at KROQ ",Webcast,TS,
"7-15-2016 / Dallas, TX / Gexa Energy Pavilion (inc) (Edirol R-09) (unk)",AUD,FLAC,
"7-20-2016 / Kansas City, MO / Starlight Theater (MK41) (unk)",AUD,FLAC,
"12-3-2016 / Bethlehem, PA / Sands Bethlehem Event Center (CA-14) (blokus)",AUD,FLAC,
,,,
[2017],,,
"6-25-2017 / Pasadena, CA / Brookside Gold & Country Club *Arroyo Seco Weekend (Zoom iQ7) (the v.u.)",AUD,FLAC,
"10-19-2017 / Paris, France / Olympia (SP-CMC-8) (alphi)",AUD,FLAC,
"10-24-2017 / Glasgow, Scotland / O2 Academy",AUD,FLAC,
"11-1-2017 / Hollywood, CA / Amoeba Music *I Lost My Guitar (AT933s) (mixter_)",AUD,FLAC,
,,,
[2018],,,
"4-10-2018 / Chicago, IL / Beat Kitchen (Rivers Cuomo) (Schoeps MK4s) (tapeworm48)",AUD,FLAC,
"6-23-2018 / Tampa, FL / MidFlorida Credit Union (Zoom H1) (besley)",AUD,FLAC,
"6-27-2018 / Dallas, TX / Starplex, Dallas (AT829s) (unk)",AUD,FLAC 24,
"8-7-2018 / Mountain View, CA / Shoreline Amphitheatre (DPA 4061) (unk)",AUD,FLAC,
,,,
[2019],,,
"2-27-2019 / Washington, D.C. / The Black Cat (Sirius XM)",FM,FLAC,
"3-19-2019 / Columbus, OH / Schottenstein Center (AT853) (live2cd)",AUD,FLAC,
"3-24-2019 / St. Louis, MO / Enterprise Center (Nokia Lumia 920) (unk)",AUD,FLAC,
"4-13-2019 / Indio, CA / Empire Polo Club - Coachella",PRO,FLV,
"8-16-2019 / Chiba, Japan / Summer Sonic Tokyo (indykid)",PRO,TS,
"9-28-2019 / Rio de Janeiro, Brazil - Rock in Rio 2019",TV,MP4,
"11-16-2019 / Mexico City, MX / Corona Capital",Webcast,TS,
,,,
[2021],,,
"5-7-2021 / Burbank, CA / iHeartRadio Theater LA (indykid)",Webcast,TS,
"7-24-2021 / Arlington, TX / Globe Life Field (iPhone 11) (napa55) *lossy",AUD,FLAC,
"8-27-2021 / San Francisco, CA / Oracle Park (AT853s) (tj)",AUD,FLAC,
"9-3-2021 / Los Angeles, CA / Dodger Stadium (SP-CMC-4U) (unk)",AUD,FLAC,
"9-17-2021 / Las Vegas, NV / iHeartRadio Music Festival - T-Mobile Arena (CWTV.com) (indykid)",Webcast,TS,
,,,
[2022],,,
"4-28-2022 / Las Vegas, NV - Draft Theater - NFL Draft Concert Series (indykid)",Webcast,TS,
"5-13-2022 / Redondo Beach, CA / BeachLife Festival (indykid)",Webcast,TS,
"6-3-2022 / Nürburg, Germany / Nürburgring - Rock am Ring",Webcast,MKV,
"6-11-2022 / Stockholm, Sweden / Tele2 Arena (Aiwa CM-T555) (qew)",AUD,FLAC,
"6-27-2022 / Dublin, Ireland / Marlay Park (Edirol R-09) (sabrewulf) ",AUD,FLAC 24,
"8-7-2022 / San Francisco, CA / Outside Lands Music & Arts Festival (paulo dapper)",Webcast,TS,
,,,
[2023],,,
"6-11-2023 / Bonner Springs, KS / Azura Amphitheatre (Tascam DR-05) (unk)",AUD,FLAC,
"6-25-2023 / Alpharetta, GA / Ameris Bank Amphitheatre (CA-14) (majintrunkz)",AUD,FLAC,
"7-7-2023 / Ottawa, ON / Lebreton Flats (iPhone 11) (palm0014)",AUD,FLAC 24,
"8-1-2023 / Zepp, Osaka, Japan / Bayside (magic pie - james 2023 Remaster & Remix) ",MIX,FLAC,
"8-30-2023 / Phoenix, AZ / Arizona Financial Theatre (JLW, MK4, ALD + IEM) (sz) ",MIX,FLAC 24,
