Red Hot Chili Peppers,Versions,File Type,
"3-28-2000 / Champaign, IL / Assembley Hall (Sony D8) (auger_d)",AUD #1,FLAC,
"3-31-2000 / Columbus, OH / Value City Arena (Schoeps CCM-4s + Countryman Isomax II)",MTX #1,FLAC,
"4-2-2000 / Amherst, MA / Mullins Center",AUD #1,FLAC,
"4-5-2000 / State College, PA / Bryce Jordan Arena",AUD #1,FLAC,
"4-6-2000 / Roanoke, VA / Civic Center",AUD #1,FLAC,
"4-8-2000 / Bloomington, IN / Assembley Hall",AUD #1,FLAC,
"4-9-2000 / Lexington, KY / Rupp Arena (unk) (n/a)",AUD #1,FLAC,
"4-12-2000 / Chattanooga, TN / UTC Arena (Binaural mics) (jeff braswell)",AUD #1,FLAC,
"4-26-2000 / Iowa City, IA / Carver-Hawkeye Arena - DAT(M) (SS-DSM6) (cps)",AUD,FLAC,
"4-28-2000 / Columbia, MO / Hearnes Center - University of Missouri (CCM4s) (j.p.)",AUD,FLAC,
"5-8-2000 / Norfolk, VA / Norfolk Scope - DAT(1) (SS-DSM6S/L) (unk)",AUD #1,FLAC,
"5-13-2000 / Providence, RI / Civic Center - ANA(M) (Sony ECM-719) (unk)",AUD #1,FLAC,
"5-14-2000 / Portland, ME / Cumberland County Civic Center (Core Sound HEB mics) (unk)",AUD #1,FLAC,
"5-28-2000 / Vancouver, Canada / General Motors Place (Sony ECM DS 70P) (unk)",AUD #1,FLAC,
"6-2-2000 / Phoenix, AZ / Desert Sky Amphitheater (CSB) (smak)",AUD #1,FLAC,
"6-3-2000 / Albuquerque, NM / University Arena ",SBD,FLAC,Official Bootleg
"6-3-2000 / Albuquerque, NM / Pitt Arena - MD(x) (unk)",AUD #1,FLAC,
"6-8-2000 / Atlanta, GA / Lakewood Amphitheater",AUD #1,FLAC,
"6-14-2000 / West Palm Beach, FL / Mars Music Amphitheater - DAT(M) (AKG 460Bs) (jon duchin)",AUD #2,FLAC,
"6-15-2000 / Orlando, FL / TD Waterhouse Centre (CoreSounds) (jim fiesler)",AUD #1,FLAC,
