Smashing Pumpkins,Versions,File Type,
"11-21-1993 / Washington, D.C. / WUST Music Hall - ANA(1) (unk)",AUD,FLAC,
"11-21-1993 / Washington, D.C. / WUST Music Hall - ANA(1) (unk) (re-tracked)",AUD,FLAC,
"11-23-1993 / New York, NY / Roseland Ballroom - ANA(1)>Polderbits (mark shafer transfer)",AUD,FLAC,
"11-23-1993 / New York, NY / Roseland Ballroom - ANA(1) (ECM-909)",AUD,FLAC,
"11-24-1993 / New York, NY / Roseland Ballroom - ANA(1) (unk)",AUD,FLAC,
"11-30-1993 / Montreal, QC / Metropolis - ANA(2)>DAT(M) ",AUD,FLAC,
"11-30-1993 / Montreal, QC / Metropolis - ANA(1) (PC-62)",AUD,FLAC,
"12-1-1993 / Toronto, Canada / Palladium - ANA(M) (andymon)",AUD,FLAC,
"12-3-1993 / Detroit, MI / State Fairgrounds Coliseum - VHS(1) (ash)",AUD (48k),FLAC,
"12-9-1993 / Chicago, IL / Aragon Ballroom - ANA(M) (unk)",AUD,FLAC,
"12-10-1993 / Chicago, IL / Aragon Ballroom (inc)",SBD,FLAC,
"12-11-1993 / Cincinnati, OH / Bogart's - ANA(3) (jimmy flemion)",SBD,FLAC,
"12-12-1993 / Los Angeles, CA / Universal Amphitheatre (unk) (rick bendes transfer)",FM,FLAC,
"12-12-1993 / Los Angeles, CA / Universal Amphitheatre KROQ Acoustic Christmas - ANA(1)",FM #4,FLAC,
"12-12-1993 / Los Angeles, CA / Universal Amphitheatre - ANA(M) (muchmusic)",FM #5,FLAC,
"12-26-1993 / New York, NY / MTV Studios",TV #1,FLAC,
,,,
[1994],,,
"2-1-1994 / Sydney, Australia / Selina's - ANA(1) (unk)",AUD,FLAC,
"2-9-1994 / Tokyo, Japan / Nakano Sun Plaza - CASS(M) (Sony Walkman with cheap mic)",AUD,FLAC,
"2-21-1994 / Munich, Germany / Nachtwerk",SBD,FLAC,
"2-21-1994 / Munich, Germany / Nachtwerk (TV broadcast)",PRO,DVD,
"2-21-1994 / Munich, Germany / Nachtwerk (TV broadcast including Geek USA)",PRO,DVD,
"2-21-1994 / Munich, Germany / Nachtwerk - HDTV 720P (2025 Re-Broadcast)",PRO,TS,
"2-23-1994 / London, UK / Astoria - ANA(x) (unk)",AUD,SHN,
"2-23-1994 / London, UK / Astoria - Hi8(M) (unk)",AMT #1,SHN,
"2-24-1994 / London, UK / Astoria - Hi8(M) (unk)",AMT #1,FLAC,
"2-24-1994 / London, UK / Astoria - Hi8(M) (unk) (master 8) (travisbickle1963 transfer)",AMT #1,FLAC,
"2-24-1994 / London, UK / Astoria - TV>VHS (MTV Europe)",PRO,DVD,
"2-25-1994 / London, UK / Astoria - ANA(x) *London 1994",Silver CD,FLAC,
"2-25-1994 / London, UK / Astoria (Sony handheld) (duncan)",AUD,FLAC 24,
"2-25-1994 / London, UK / Astoria - ANA(x) (unk)",AUD,FLAC,
"2-25-1994 / London, UK / Astoria *London 1994",Silver CD,FLAC,
"2-26-1994 / London, UK / Astoria - VHS(4) (dan elsen transfer) ",AMT  ,FLAC,
"2-26-1994 / London, UK / Astoria (Channel 4 TV) (inc)",PRO #1b,DVD,
"3-4-1994 / Barcelona, ES / Sala Apolo (inc)",FM,FLAC,
"3-4-1994 / Barcelona, ES / Sala Apolo - VHS(M) (inc)",PRO #2,DVD,
"3-23-1994 / Normal, IL / Redbird Arena (soundcheck included) - ANA(1) (Microcassette)",AUD,FLAC,
"3-23-1994 / Normal, IL / Redbird Arena - DAT(M) (ECM-S220)",AUD,SHN,
"3-23-1994 / Normal, IL / Redbird Arena  (Sony D-3) (ECM-S220) (jb)",AUD (48k),FLAC,
"3-23-1994 / Normal, IL / Redbird Arena  - ANA(M) (unk)",AUD,FLAC,
"3-24-1994 / Carbondale, IL / Southern IL University Arena  - VHS(3) (serra transfer)",AMT #1,FLAC,
"3-24-1994 / Carbondale, IL / Southern IL University Arena  (meladoridarcy encode)",AUD,DVD,
"3-25-1994 / Davenport, IA / Palmer Auditorium (upgrade) (SS-DSM-6P) (blg)",AUD,FLAC,
"3-25-1994 / Davenport, IA / Palmer Auditorium (SS mic) (unk)",AUD,SHN,
"3-27-1994 / Kansas City, KS / Memorial Hall - DAT(M) (SS DSM)",AUD,FLAC,
"3-27-1994 / Kansas City, KS / Memorial Hall - ANA(x) (SS) (unk)",AUD,FLAC,
"3-28-1994 / Springfield, MO / University Plaza Convention Center - DAT(M) - ANA(M) (SS DSM)",AUD,SHN,
